Map,WinType,Count,Percent
Ascent,boom,5015,0.06737240888267931
Ascent,defuse,14298,0.19208189475663984
Ascent,elim,53299,0.7160283192498355
Ascent,time,1825,0.024517377110845413
Bind,boom,4678,0.07412924286121764
Bind,defuse,12378,0.1961461667670269
Bind,elim,44478,0.7048141222704656
Bind,time,1572,0.024910468101289895
Breeze,boom,1034,0.07666073546856465
Breeze,defuse,2429,0.18008600237247924
Breeze,elim,9800,0.7265717674970344
Breeze,time,225,0.016681494661921707
Fracture,boom,151,0.06804867057232988
Fracture,defuse,415,0.18702118071203244
Fracture,elim,1615,0.7278053177106805
Fracture,time,38,0.017124831004957188
Haven,boom,5355,0.08106880629778215
Haven,defuse,14530,0.21996820831125577
Haven,elim,45065,0.6822345015517371
Haven,time,1105,0.01672848383922489
Icebox,boom,2683,0.067075
Icebox,defuse,8412,0.2103
Icebox,elim,28286,0.70715
Icebox,time,619,0.015475
Split,boom,2947,0.06437871373645579
Split,defuse,8372,0.1828905976931143
Split,elim,33138,0.7239164627752535
Split,time,1319,0.02881422579517651
