Map,Agent,Count,Percent
Ascent,Astra,1068,0.07344749329482154
Ascent,Breach,532,0.03658620452513582
Ascent,Brimstone,93,0.006395708685785022
Ascent,Chamber,9,0.0006189395502372602
Ascent,Cypher,933,0.06416340004126264
Ascent,Jett,2344,0.16119936730623755
Ascent,Kayo,184,0.012653875249295097
Ascent,Killjoy,1785,0.12275634413038994
Ascent,Omen,1766,0.12144969396877794
Ascent,Phoenix,487,0.03349150677394952
Ascent,Raze,644,0.04428856337253284
Ascent,Reyna,617,0.042431744721821055
Ascent,Sage,739,0.050821814180592804
Ascent,Skye,436,0.02998418265593838
Ascent,Sova,2814,0.19352176604085
Ascent,Viper,79,0.005432913829860395
Ascent,Yoru,11,0.0007564816725122069
Bind,Astra,723,0.059855948340094375
Bind,Breach,474,0.039241659077738224
Bind,Brimstone,674,0.05579932113585562
Bind,Chamber,6,0.0004967298617435218
Bind,Cypher,1131,0.09363357893865386
Bind,Jett,1195,0.09893203079725142
Bind,Kayo,43,0.00355989734249524
Bind,Killjoy,351,0.029058696911996026
Bind,Omen,1017,0.08419571156552695
Bind,Phoenix,337,0.02789966056792781
Bind,Raze,1830,0.15150260783177416
Bind,Reyna,259,0.021442172365262024
Bind,Sage,469,0.03882771752628529
Bind,Skye,704,0.05828297044457323
Bind,Sova,2082,0.17236526202500208
Bind,Viper,746,0.06176007947677788
Bind,Yoru,38,0.0031459557910423048
Breeze,Astra,37,0.014208909370199693
Breeze,Breach,6,0.002304147465437788
Breeze,Brimstone,10,0.0038402457757296467
Breeze,Chamber,26,0.009984639016897081
Breeze,Cypher,295,0.11328725038402458
Breeze,Jett,486,0.18663594470046083
Breeze,Kayo,29,0.011136712749615975
Breeze,Killjoy,69,0.026497695852534562
Breeze,Omen,28,0.010752688172043012
Breeze,Phoenix,5,0.0019201228878648233
Breeze,Raze,1,0.00038402457757296467
Breeze,Reyna,125,0.04800307219662058
Breeze,Sage,100,0.03840245775729647
Breeze,Skye,399,0.1532258064516129
Breeze,Sova,458,0.17588325652841783
Breeze,Viper,515,0.1977726574500768
Breeze,Yoru,15,0.00576036866359447
Fracture,Astra,43,0.08977035490605428
Fracture,Breach,83,0.1732776617954071
Fracture,Brimstone,17,0.03549060542797495
Fracture,Chamber,8,0.016701461377870562
Fracture,Cypher,44,0.0918580375782881
Fracture,Jett,62,0.12943632567849686
Fracture,Kayo,21,0.04384133611691023
Fracture,Killjoy,45,0.09394572025052192
Fracture,Omen,1,0.0020876826722338203
Fracture,Phoenix,2,0.0041753653444676405
Fracture,Raze,25,0.05219206680584551
Fracture,Reyna,16,0.033402922755741124
Fracture,Sage,30,0.06263048016701461
Fracture,Skye,21,0.04384133611691023
Fracture,Sova,2,0.0041753653444676405
Fracture,Viper,58,0.12108559498956159
Fracture,Yoru,1,0.0020876826722338203
Haven,Astra,927,0.07319384129490722
Haven,Breach,615,0.04855902092380576
Haven,Brimstone,124,0.009790761942360837
Haven,Chamber,16,0.0012633241215949467
Haven,Cypher,1505,0.11883142518752468
Haven,Jett,2041,0.1611527832609554
Haven,Kayo,78,0.006158705092775365
Haven,Killjoy,907,0.07161468614291354
Haven,Omen,1493,0.11788393209632847
Haven,Phoenix,683,0.053928148440584286
Haven,Raze,632,0.0499013028030004
Haven,Reyna,418,0.033004342676667985
Haven,Sage,362,0.028582708251085668
Haven,Skye,593,0.04682195025661271
Haven,Sova,2191,0.172996446900908
Haven,Viper,75,0.005921831819976312
Haven,Yoru,5,0.00039478878799842083
Icebox,Astra,20,0.0025429116338207248
Icebox,Breach,31,0.003941513032422123
Icebox,Brimstone,19,0.0024157660521296883
Icebox,Chamber,25,0.003178639542275906
Icebox,Cypher,52,0.006611570247933884
Icebox,Jett,1451,0.18448823903369357
Icebox,Kayo,17,0.002161474888747616
Icebox,Killjoy,819,0.10413223140495868
Icebox,Omen,294,0.03738080101716466
Icebox,Phoenix,22,0.002797202797202797
Icebox,Raze,343,0.04361093452002543
Icebox,Reyna,602,0.07654164017800381
Icebox,Sage,1341,0.1705022250476796
Icebox,Skye,92,0.011697393515575335
Icebox,Sova,1437,0.18270820089001907
Icebox,Viper,1296,0.16478067387158296
Icebox,Yoru,4,0.000508582326764145
Split,Astra,590,0.0668328047122791
Split,Breach,843,0.09549161758042592
Split,Brimstone,110,0.012460353420933394
Split,Chamber,3,0.00033982782057091076
Split,Cypher,907,0.10274127775260535
Split,Jett,1109,0.12562301767104667
Split,Kayo,61,0.006909832351608519
Split,Killjoy,661,0.07487539646579067
Split,Omen,1070,0.12120525600362483
Split,Phoenix,60,0.006796556411418215
Split,Raze,1418,0.16062528318985048
Split,Reyna,275,0.031150883552333485
Split,Sage,1018,0.11531490711372905
Split,Skye,321,0.036361576801087446
Split,Sova,59,0.0066832804712279115
Split,Viper,321,0.036361576801087446
Split,Yoru,2,0.00022655188038060717
