Agent,AgentType,FirstDeathsRate
Astra,Controllers,0.07735056885613105
Breach,Initiators,0.0730167272231872
Brimstone,Controllers,0.08708003626331039
Chamber,Sentinels,0.10504413441314905
Cypher,Sentinels,0.09074259959958
Jett,Duelists,0.1472401164781056
Kayo,Initiators,0.09359186880460599
Killjoy,Sentinels,0.0865238092470186
Omen,Controllers,0.087163300613886
Phoenix,Duelists,0.13129503809328563
Raze,Duelists,0.13477436366479154
Reyna,Duelists,0.13836761044802245
Sage,Sentinels,0.0897057570800473
Skye,Initiators,0.0931078592413311
Sova,Initiators,0.06551099584245082
Viper,Controllers,0.09112862214655124
Yoru,Duelists,0.1376227738080867
