Agent,AgentType,LastSurviveRate
Astra,Controllers,0.01819900013201424
Breach,Initiators,0.015475368851308732
Brimstone,Controllers,0.01751241470206158
Chamber,Sentinels,0.018820184081596067
Cypher,Sentinels,0.016655403331976577
Jett,Duelists,0.013179607104642497
Kayo,Initiators,0.013448248662829558
Killjoy,Sentinels,0.019010082154202766
Omen,Controllers,0.015752569949373126
Phoenix,Duelists,0.012589987029415921
Raze,Duelists,0.012115165642796931
Reyna,Duelists,0.013233184843782364
Sage,Sentinels,0.015432239007283775
Skye,Initiators,0.013772689419293018
Sova,Initiators,0.019960867263118444
Viper,Controllers,0.020377115789652595
Yoru,Duelists,0.012810779747891134
