Agent,AgentType,KillsRate
Astra,Controllers,0.13584599193990166
Breach,Initiators,0.12230403303996823
Brimstone,Controllers,0.13117084949732988
Chamber,Sentinels,0.15376337588369654
Cypher,Sentinels,0.1329041250857208
Jett,Duelists,0.1615053098022081
Kayo,Initiators,0.13210985468069164
Killjoy,Sentinels,0.13667788994025462
Omen,Controllers,0.13397113648910747
Phoenix,Duelists,0.152150925332343
Raze,Duelists,0.1572132353426555
Reyna,Duelists,0.16061257528898634
Sage,Sentinels,0.13352227974791986
Skye,Initiators,0.13477235114823266
Sova,Initiators,0.13325625052727239
Viper,Controllers,0.13549329467836604
Yoru,Duelists,0.14731828852374534
