Agent,AgentType,DeathsRate
Astra,Controllers,0.13686530571685698
Breach,Initiators,0.14024793898540602
Brimstone,Controllers,0.1404500526186567
Chamber,Sentinels,0.13445701635972193
Cypher,Sentinels,0.13959192137453014
Jett,Duelists,0.14627137444211705
Kayo,Initiators,0.14353780002749303
Killjoy,Sentinels,0.13771469359409766
Omen,Controllers,0.1411678504320257
Phoenix,Duelists,0.14673966194179422
Raze,Duelists,0.14857254713026993
Reyna,Duelists,0.14842234068395424
Sage,Sentinels,0.1391492352992041
Skye,Initiators,0.14190769123698588
Sova,Initiators,0.13442469646981148
Viper,Controllers,0.13807319109524038
Yoru,Duelists,0.15142330748528948
