Agent,AgentType,AssistsRate
Astra,Controllers,0.057610151471958165
Breach,Initiators,0.07768323325826065
Brimstone,Controllers,0.05492542544593789
Chamber,Sentinels,0.026149589713336828
Cypher,Sentinels,0.04386072857517018
Jett,Duelists,0.032458469784572785
Kayo,Initiators,0.08539350435770222
Killjoy,Sentinels,0.037204572077986046
Omen,Controllers,0.04918820693436181
Phoenix,Duelists,0.04710859613748069
Raze,Duelists,0.0458600131163795
Reyna,Duelists,0.040721646923045175
Sage,Sentinels,0.062190402082370894
Skye,Initiators,0.05202895475400187
Sova,Initiators,0.06692065645294666
Viper,Controllers,0.05469261602332058
Yoru,Duelists,0.04227633079504274
