Agent,AgentType,DefusesRate
Astra,Controllers,0.014737609942818987
Breach,Initiators,0.02282321988670665
Brimstone,Controllers,0.020049880959344586
Chamber,Sentinels,0.01577143844253149
Cypher,Sentinels,0.014476219491445261
Jett,Duelists,0.016540977640343336
Kayo,Initiators,0.01901346448135136
Killjoy,Sentinels,0.022402737808905834
Omen,Controllers,0.014650842418723595
Phoenix,Duelists,0.023383548796386752
Raze,Duelists,0.0206552436622138
Reyna,Duelists,0.013762854192350356
Sage,Sentinels,0.02307352953809179
Skye,Initiators,0.021362740920304907
Sova,Initiators,0.027181176772477948
Viper,Controllers,0.019358592728204543
Yoru,Duelists,0.013334567265026848
