KillsPerRound,TeamWin,Count,Percent
0.2,False,4,1.0
0.4,False,9,0.75
0.4,True,3,0.25
0.6,False,14,0.6363636363636364
0.6,True,8,0.36363636363636365
0.8,False,7,0.7777777777777778
0.8,True,2,0.2222222222222222
1.0,False,16,0.8888888888888888
1.0,True,2,0.1111111111111111
1.2,False,22,0.7857142857142857
1.2,True,6,0.21428571428571427
1.4,False,51,0.85
1.4,True,9,0.15
1.6,False,101,0.9528301886792453
1.6,True,5,0.04716981132075472
1.8,False,138,0.965034965034965
1.8,True,5,0.03496503496503497
2.0,False,396,0.972972972972973
2.0,True,11,0.02702702702702703
2.2,False,547,0.9855855855855856
2.2,True,8,0.014414414414414415
2.4,False,802,0.9852579852579852
2.4,True,12,0.014742014742014743
2.6,False,1215,0.9727782225780625
2.6,True,34,0.02722177742193755
2.8,False,1470,0.9715796430931923
2.8,True,43,0.028420356906807668
3.0,False,2367,0.9579117766086604
3.0,True,104,0.04208822339133954
3.2,False,2340,0.8741128128502055
3.2,True,337,0.12588718714979455
3.4,False,1557,0.5770941438102298
3.4,True,1141,0.4229058561897702
3.6,False,670,0.2255892255892256
3.6,True,2300,0.7744107744107744
3.8,False,134,0.05651623787431464
3.8,True,2237,0.9434837621256854
4.0,False,5,0.002286236854138089
4.0,True,2182,0.9977137631458619
4.2,False,1,0.0006788866259334691
4.2,True,1472,0.9993211133740665
4.4,True,980,1.0
4.6,True,689,1.0
4.8,True,299,1.0
5.0,True,111,1.0
