FirstKillRate,TeamWin,Count,Percent
0,False,25,0.8620689655172413
0,True,4,0.13793103448275862
1,False,241,0.926923076923077
1,True,19,0.07307692307692308
2,False,673,0.9492242595204513
2,True,36,0.05077574047954866
3,False,2162,0.8889802631578947
3,True,270,0.11101973684210527
4,False,3762,0.7530024019215372
4,True,1234,0.24699759807846278
5,False,3545,0.5059948615472453
5,True,3461,0.4940051384527548
6,False,1222,0.24303898170246618
6,True,3806,0.7569610182975338
7,False,221,0.09313105773282765
7,True,2152,0.9068689422671724
8,False,14,0.01717791411042945
8,True,801,0.9828220858895705
9,False,1,0.0047169811320754715
9,True,211,0.9952830188679245
10,True,6,1.0
