AgentType,FirstDeathRate,TeamWin,Count,Percent
Controllers,0,False,6933,0.433095952023988
Controllers,0,True,9075,0.566904047976012
Controllers,1,False,4575,0.5763416477702192
Controllers,1,True,3363,0.4236583522297808
Controllers,2,False,1143,0.7068645640074211
Controllers,2,True,474,0.29313543599257885
Controllers,3,False,130,0.8176100628930818
Controllers,3,True,29,0.18238993710691823
Controllers,4,False,11,0.9166666666666666
Controllers,4,True,1,0.08333333333333333
Duelists,0,False,4252,0.37226405182980216
Duelists,0,True,7170,0.6277359481701978
Duelists,1,False,7446,0.5046766978446523
Duelists,1,True,7308,0.4953233021553477
Duelists,2,False,4344,0.641086186540732
Duelists,2,True,2432,0.358913813459268
Duelists,3,False,1030,0.7680835197613721
Duelists,3,True,311,0.2319164802386279
Duelists,4,False,188,0.8826291079812206
Duelists,4,True,25,0.11737089201877934
Duelists,5,False,24,1.0
Duelists,6,False,1,1.0
Initiators,0,False,9058,0.4504674756315894
Initiators,0,True,11050,0.5495325243684106
Initiators,1,False,4441,0.5923702814459118
Initiators,1,True,3056,0.4076297185540883
Initiators,2,False,913,0.7520593080724877
Initiators,2,True,301,0.24794069192751236
Initiators,3,False,122,0.8905109489051095
Initiators,3,True,15,0.10948905109489052
Initiators,4,False,8,0.8888888888888888
Initiators,4,True,1,0.1111111111111111
Initiators,5,False,1,1.0
Sentinels,0,False,6495,0.41672013345309894
Sentinels,0,True,9091,0.5832798665469011
Sentinels,1,False,4727,0.5665148609779482
Sentinels,1,True,3617,0.43348513902205177
Sentinels,2,False,1368,0.7339055793991416
Sentinels,2,True,496,0.26609442060085836
Sentinels,3,False,164,0.8282828282828283
Sentinels,3,True,34,0.1717171717171717
Sentinels,4,False,10,1.0
Sentinels,5,False,2,1.0
