PlantsPerRound,TeamWin,Count,Percent
0,False,826,0.7911877394636015
0,True,218,0.20881226053639848
1,False,1892,0.7007407407407408
1,True,808,0.2992592592592593
2,False,3367,0.5822237592944838
2,True,2416,0.41777624070551617
3,False,3552,0.49761838049873913
3,True,3586,0.5023816195012608
4,False,1483,0.39908503767491926
4,True,2233,0.6009149623250807
5,False,289,0.18107769423558898
5,True,1307,0.818922305764411
6,False,28,0.044444444444444446
6,True,602,0.9555555555555556
7,False,2,0.006825938566552901
7,True,291,0.9931740614334471
8,True,107,1.0
9,True,21,1.0
